7622;102030;102030;EFICAZ;EFICAZ ENERGIA E SERVICOS LTDA;1,6431E+12;"01;02;03;04;05;06;07"
8140;102030;102030;EFICAZ;EFICAZ ENERGIA E SERVICOS LTDA;1,6431E+12;"01;02;03;04;05;06;07"
20858;102030;102030;EFICAZ;EFICAZ ENERGIA E SERVICOS LTDA  JUAZEIRO  ;1,6431E+12;"01;02;03;04;05;06;07"
8651;235052;235052;FORT BRASIL;FORTBRASIL ADMINISTRADORA DE CARTOES DE CREDITO S/A;2,73297E+12;"01;02;03;04;05;06;07"
22147;235052;235052;FORT BRASIL;FLEXNET LOCACAO DE EQUIPAMENTOS LTDA;9,55818E+12;"01;02;03;04;05;06;07"
95980;235052;235052;FORT BRASIL;PROCEDE  SERVICOS DE COBRANCA EXTRAJUDICIAL LTDA;2,11258E+13;"01;02;03;04;05;06;07"
B3869;235052;235052;FORT BRASIL;VAI BEM SOLUCOES DE PAGAMENTO LTDA;2,46817E+13;"01;02;03;04;05;06;07"
05FXB;141128;141128;AHB;AHB CONSTRUCAO ELETRICA E COMERCIO LTDA;7,4046E+12;"01;02;03;04;05;06;07"
06ABI;289779;289779;MG;MARIA GENI DISTRIBUIDORA DE ARTIGOS DE PAPELARIA LTDA;4,191E+12;"01;02;03;04;05;06;07"
06ABP;289779;289779;MG;MELHOR PROPOSTA COMERCIO VAREJISTA DE MERCADORIAS EM GERAL EIRELI;2,28648E+13;"01;02;03;04;05;06;07"
06ABM;289779;289779;MG;LARISSA LOCACOES DE VEICULOS EIRELI;2,12532E+13;"01;02;03;04;05;06;07"
06ABL;289779;289779;MG;PIGMENTAR INDUSTRIA QUIMICA LTDA;1,03E+13;"01;02;03;04;05;06;07"
06ABK;289779;289779;MG;IMARGEM LOCADORA E SERVICOS DE ENTREGA RAPIDA LTDA;6,12983E+12;"01;02;03;04;05;06;07"
06ABJ;289779;289779;MG;AC COMERCIO VAREJISTA DE MATERIAL DE ESCRITORIO EIRELI;1,13379E+13;"01;02;03;04;05;06;07"
0706T;185691;185691;PARTNESHIP;PARTNERSHIP ENGENHARIA E CONSULTORIA LTDA;3,39031E+13;"06;07"
0359B;75671;75671;FAE;FAE SISTEMAS DE MEDICAO S/A ;7,28141E+12;"01;02;03;04;05;06;07"
03LPM;323118;323118;ACENDER;ACENDER ENGENHARIA LTDA ;5,9134E+12;"01;02;03;04;05;06;07"
03PV2;117861;117861;SINOR;SINOR ELETRICIDADE LTDA  ;1,85517E+13;"01;02;03;04;05;06;07"
6745;232219;232219;B&Q; B&Q ENERGIA LTDA (FORTALEZA);1,22554E+13;"01;02;03;04;05;06;07"
6746;232219;232219;B&Q;  B&Q ENERGIA LTDA (BAHIA);1,22554E+13;"01;02;03;04;05;06;07"
6747;232219;232219;B&Q;B & Q ELETRIFICAÇÃO (ECO SERVICOS DE PODA LTDA) ;7,27227E+12;"01;02;03;04;05;06;07"
68985;184753;184753;B&Q;B & Q ELETRIFICAÇÃO MARANHÃO ;1,22554E+13;"01;02;03;04;05;06;07"
95299;232219;232219;B&Q;B & Q ENERGIA LTDA;1,22554E+13;"01;02;03;04;05;06;07"
B4732;381522;381522;COSAMPA;COSAMPA SERVICOS ELETRICOS LTDA ;2,1948E+13;"01;03;04;05;06;07"
B4736;381522;381522;COSAMPA;COSAMPA SERVIÇOS ELÉTRICOS LTDA     ;2,1948E+13;"01;03;04;05;06;07"
B4737;871460;381522;COSAMPA;COSAMPA PROJETOS E CONSTRUÇÕES LTDA  ;3,00655E+12;"01;03;04;05;06;07"
B4738;381522;381522;COSAMPA;I LOCAÇÕES DE MAQUINAS E EQUIPAMENTOS LTDA  ;2,18644E+13;"01;03;04;05;06;07"
24222;291724;291724;MOB;DB3 SERVIÇOS DE TELECOMUNICAÇÕES LTDA;4,16442E+13;"01;02;03;04;05;06;07"
24223;327122;291724;MOB;MOB SERVIÇOS DE TELECOMUNICAÇÕES ;7,87009E+12;"01;02;03;04;05;06;07"
B5252;208883;208883;MOB;FORTEL FORTALEZA TELECOMUNICACOES S.A. (WIRELINK);6,80994E+12;"01;02;03;04;05;06;07"
04YW6;291724;291724;MOB;DB3 SERVIÇOS DE TELECOMUNICAÇÕES LTDA;4,16442E+13;"01;02;03;04;05;06;07"
04YW7;291724;291724;MOB;MOB SERVICOS DE TELECOMUNICACOES LTDA;7,87009E+12;"01;02;03;04;05;06;07"
04YW8;327122;291724;MOB;MOBCOM SOLUCOES EM TECNOLOGIA LTDA;7,23439E+12;"01;02;03;04;05;06;07"
47625;102030;102030;EFICAZ;EFICAZ ENERGIA E SERVICOS LTDA;1,6431E+12;"01;02;03;04;05;06;07"
0359M;101235;101235;UNIVERSO PET;UNIVERSO PET (SALVADOR/BA);2,24584E+13;"01;02;03;04;05;06;07"
0359G;101235;101235;UNIVERSO PET;UNIVERSO PET COMERCIO DE PRODUTOS SERVICOS (FORTALEZA/CE);2,24584E+13;"01;02;03;04;05;06;07"
0517H;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (FORTALEZA/CE);2,24584E+13;"01;02;03;04;05;06;07"
0517I;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (CABEDELO/PB);2,24584E+13;"01;02;03;04;05;06;07"
0517J;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (LAURO DE FREITAS/BA);2,24584E+13;"01;02;03;04;05;06;07"
0517K;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (RECIFE/PE);2,24584E+13;"01;02;03;04;05;06;07"
0517L;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (RECIFE/PE);2,24584E+13;"01;02;03;04;05;06;07"
058Y3;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (SALVADOR/BA);2,24584E+13;"01;02;03;04;05;06;07"
058Y4;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (SALVADOR/BA);2,24584E+13;"01;02;03;04;05;06;07"
058WX;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (SALVADOR/BA);2,24584E+13;"01;02;03;04;05;06;07"
05XR2;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (NATAL/RN);2,24584E+13;"01;02;03;04;05;06;07"
05XR3;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (EUSEBIO/CE);2,24584E+13;"05;06;07"
05XR4;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (BELEM/PA);2,24584E+13;"01;02;03;04;05;06;07"
06R96;101235;101235;UNIVERSO PET;UNIVERSO PET COMER DE PRODUTOS E SERV VET S/A (FORTALEZA/CE);2,24584E+13;"05;06;07"
